Year,Party,Candidate,Orientation,OrientationN,Percent1,Percent2,Seats,Votes1,Votes2
2016,Frente Amplio,Veronica Mendoza,Left,2,18.74,0,20,2874940,0
2016,Accion Popular,Alfredo Barnechea,Center,3,6.97,0,5,1069360,0
2016,Alianza Popular,Alan Garcia,Center,3,5.83,0,5,894278,0
2016,Fuerza Popular,Keiko Fujimori,Right,4,39.86,49.88,73,6115073,8555880
2016,Alianza Gran Cambio,Pedro Pablo Kuczynsky,Right,4,21.05,50.12,18,3228611,8596937
